date,Consumer price index
2015-01-01,94.643
2015-01-02,94.643
2015-01-03,94.643
2015-01-04,94.643
2015-01-05,94.643
2015-01-06,94.643
2015-01-07,94.643
2015-01-08,94.643
2015-01-09,94.643
2015-01-10,94.643
2015-01-11,94.643
2015-01-12,94.643
2015-01-13,94.643
2015-01-14,94.643
2015-01-15,94.643
2015-01-16,94.643
2015-01-17,94.643
2015-01-18,94.643
2015-01-19,94.643
2015-01-20,94.643
2015-01-21,94.643
2015-01-22,94.643
2015-01-23,94.643
2015-01-24,94.643
2015-01-25,94.643
2015-01-26,94.643
2015-01-27,94.643
2015-01-28,94.643
2015-01-29,94.643
2015-01-30,94.643
2015-01-31,94.643
2015-02-01,94.587
2015-02-02,94.587
2015-02-03,94.587
2015-02-04,94.587
2015-02-05,94.587
2015-02-06,94.587
2015-02-07,94.587
2015-02-08,94.587
2015-02-09,94.587
2015-02-10,94.587
2015-02-11,94.587
2015-02-12,94.587
2015-02-13,94.587
2015-02-14,94.587
2015-02-15,94.587
2015-02-16,94.587
2015-02-17,94.587
2015-02-18,94.587
2015-02-19,94.587
2015-02-20,94.587
2015-02-21,94.587
2015-02-22,94.587
2015-02-23,94.587
2015-02-24,94.587
2015-02-25,94.587
2015-02-26,94.587
2015-02-27,94.587
2015-02-28,94.587
2015-03-01,94.596
2015-03-02,94.596
2015-03-03,94.596
2015-03-04,94.596
2015-03-05,94.596
2015-03-06,94.596
2015-03-07,94.596
2015-03-08,94.596
2015-03-09,94.596
2015-03-10,94.596
2015-03-11,94.596
2015-03-12,94.596
2015-03-13,94.596
2015-03-14,94.596
2015-03-15,94.596
2015-03-16,94.596
2015-03-17,94.596
2015-03-18,94.596
2015-03-19,94.596
2015-03-20,94.596
2015-03-21,94.596
2015-03-22,94.596
2015-03-23,94.596
2015-03-24,94.596
2015-03-25,94.596
2015-03-26,94.596
2015-03-27,94.596
2015-03-28,94.596
2015-03-29,94.596
2015-03-30,94.596
2015-03-31,94.596
2015-04-01,94.625
2015-04-02,94.625
2015-04-03,94.625
2015-04-04,94.625
2015-04-05,94.625
2015-04-06,94.625
2015-04-07,94.625
2015-04-08,94.625
2015-04-09,94.625
2015-04-10,94.625
2015-04-11,94.625
2015-04-12,94.625
2015-04-13,94.625
2015-04-14,94.625
2015-04-15,94.625
2015-04-16,94.625
2015-04-17,94.625
2015-04-18,94.625
2015-04-19,94.625
2015-04-20,94.625
2015-04-21,94.625
2015-04-22,94.625
2015-04-23,94.625
2015-04-24,94.625
2015-04-25,94.625
2015-04-26,94.625
2015-04-27,94.625
2015-04-28,94.625
2015-04-29,94.625
2015-04-30,94.625
2015-05-01,94.89
2015-05-02,94.89
2015-05-03,94.89
2015-05-04,94.89
2015-05-05,94.89
2015-05-06,94.89
2015-05-07,94.89
2015-05-08,94.89
2015-05-09,94.89
2015-05-10,94.89
2015-05-11,94.89
2015-05-12,94.89
2015-05-13,94.89
2015-05-14,94.89
2015-05-15,94.89
2015-05-16,94.89
2015-05-17,94.89
2015-05-18,94.89
2015-05-19,94.89
2015-05-20,94.89
2015-05-21,94.89
2015-05-22,94.89
2015-05-23,94.89
2015-05-24,94.89
2015-05-25,94.89
