Date,Number of employed(Seoul)
2015-01-01,516.65
2015-01-02,516.65
2015-01-03,516.65
2015-01-04,516.65
2015-01-05,516.65
2015-01-06,516.65
2015-01-07,516.65
2015-01-08,516.65
2015-01-09,516.65
2015-01-10,516.65
2015-01-11,516.65
2015-01-12,516.65
2015-01-13,516.65
2015-01-14,516.65
2015-01-15,516.65
2015-01-16,516.65
2015-01-17,516.65
2015-01-18,516.65
2015-01-19,516.65
2015-01-20,516.65
2015-01-21,516.65
2015-01-22,516.65
2015-01-23,516.65
2015-01-24,516.65
2015-01-25,516.65
2015-01-26,516.65
2015-01-27,516.65
2015-01-28,516.65
2015-01-29,516.65
2015-01-30,516.65
2015-01-31,516.65
2015-02-01,514.28
2015-02-02,514.28
2015-02-03,514.28
2015-02-04,514.28
2015-02-05,514.28
2015-02-06,514.28
2015-02-07,514.28
2015-02-08,514.28
2015-02-09,514.28
2015-02-10,514.28
2015-02-11,514.28
2015-02-12,514.28
2015-02-13,514.28
2015-02-14,514.28
2015-02-15,514.28
2015-02-16,514.28
2015-02-17,514.28
2015-02-18,514.28
2015-02-19,514.28
2015-02-20,514.28
2015-02-21,514.28
2015-02-22,514.28
2015-02-23,514.28
2015-02-24,514.28
2015-02-25,514.28
2015-02-26,514.28
2015-02-27,514.28
2015-02-28,514.28
2015-03-01,513.08
2015-03-02,513.08
2015-03-03,513.08
2015-03-04,513.08
2015-03-05,513.08
2015-03-06,513.08
2015-03-07,513.08
2015-03-08,513.08
2015-03-09,513.08
2015-03-10,513.08
2015-03-11,513.08
2015-03-12,513.08
2015-03-13,513.08
2015-03-14,513.08
2015-03-15,513.08
2015-03-16,513.08
2015-03-17,513.08
2015-03-18,513.08
2015-03-19,513.08
2015-03-20,513.08
2015-03-21,513.08
2015-03-22,513.08
2015-03-23,513.08
2015-03-24,513.08
2015-03-25,513.08
2015-03-26,513.08
2015-03-27,513.08
2015-03-28,513.08
2015-03-29,513.08
2015-03-30,513.08
2015-03-31,513.08
2015-04-01,513.92
2015-04-02,513.92
2015-04-03,513.92
2015-04-04,513.92
2015-04-05,513.92
2015-04-06,513.92
2015-04-07,513.92
2015-04-08,513.92
2015-04-09,513.92
2015-04-10,513.92
2015-04-11,513.92
2015-04-12,513.92
2015-04-13,513.92
2015-04-14,513.92
2015-04-15,513.92
2015-04-16,513.92
2015-04-17,513.92
2015-04-18,513.92
2015-04-19,513.92
2015-04-20,513.92
2015-04-21,513.92
2015-04-22,513.92
2015-04-23,513.92
2015-04-24,513.92
2015-04-25,513.92
2015-04-26,513.92
2015-04-27,513.92
2015-04-28,513.92
2015-04-29,513.92
2015-04-30,513.92
2015-05-01,520.0
2015-05-02,520.0
2015-05-03,520.0
2015-05-04,520.0
2015-05-05,520.0
2015-05-06,520.0
2015-05-07,520.0
2015-05-08,520.0
2015-05-09,520.0
2015-05-10,520.0
2015-05-11,520.0
2015-05-12,520.0
2015-05-13,520.0
2015-05-14,520.0
2015-05-15,520.0
2015-05-16,520.0
2015-05-17,520.0
2015-05-18,520.0
2015-05-19,520.0
2015-05-20,520.0
2015-05-21,520.0
2015-05-22,520.0
2015-05-23,520.0
2015-05-24,520.0
2015-05-25,520.0
2015-05-26,520.0
2015-05-27,520.0
2015-05-28,520.0
2015-05-29,520.0
2015-05-30,520.0
2015-05-31,520.0
2015-06-01,515.29
2015-06-02,515.29
2015-06-03,515.29
2015-06-04,515.29
2015-06-05,515.29
2015-06-06,515.29
2015-06-07,515.29
2015-06-08,515.29
2015-06-09,515.29
2015-06-10,515.29
2015-06-11,515.29
2015-06-12,515.29
2015-06-13,515.29
2015-06-14,515.29
2015-06-15,515.29
2015-06-16,515.29
2015-06-17,515.29
2015-06-18,515.29
2015-06-19,515.29
2015-06-20,515.29
2015-06-21,515.29
2015-06-22,515.29
2015-06-23,515.29
2015-06-24,515.29
2015-06-25,515.29
2015-06-26,515.29
2015-06-27,515.29
2015-06-28,515.29
2015-06-29,515.29
2015-06-30,515.29
2015-07-01,519.27
2015-07-02,519.27
2015-07-03,519.27
2015-07-04,519.27
2015-07-05,519.27
2015-07-06,519.27
2015-07-07,519.27
2015-07-08,519.27
2015-07-09,519.27
2015-07-10,519.27
2015-07-11,519.27
2015-07-12,519.27
2015-07-13,519.27
2015-07-14,519.27
2015-07-15,519.27
2015-07-16,519.27
2015-07-17,519.27
2015-07-18,519.27
2015-07-19,519.27
2015-07-20,519.27
2015-07-21,519.27
2015-07-22,519.27
2015-07-23,519.27
2015-07-24,519.27
2015-07-25,519.27
2015-07-26,519.27
2015-07-27,519.27
2015-07-28,519.27
2015-07-29,519.27
2015-07-30,519.27
2015-07-31,519.27
2015-08-01,519.4
2015-08-02,519.4
2015-08-03,519.4
2015-08-04,519.4
2015-08-05,519.4
2015-08-06,519.4
2015-08-07,519.4
2015-08-08,519.4
2015-08-09,519.4
2015-08-10,519.4
2015-08-11,519.4
2015-08-12,519.4
2015-08-13,519.4
2015-08-14,519.4
2015-08-15,519.4
2015-08-16,519.4
2015-08-17,519.4
2015-08-18,519.4
2015-08-19,519.4
2015-08-20,519.4
2015-08-21,519.4
2015-08-22,519.4
2015-08-23,519.4
2015-08-24,519.4
2015-08-25,519.4
2015-08-26,519.4
2015-08-27,519.4
2015-08-28,519.4
2015-08-29,519.4
2015-08-30,519.4
2015-08-31,519.4
2015-09-01,516.69
2015-09-02,516.69
2015-09-03,516.69
2015-09-04,516.69
2015-09-05,516.69
2015-09-06,516.69
2015-09-07,516.69
2015-09-08,516.69
2015-09-09,516.69
2015-09-10,516.69
2015-09-11,516.69
2015-09-12,516.69
2015-09-13,516.69
2015-09-14,516.69
2015-09-15,516.69
2015-09-16,516.69
2015-09-17,516.69
2015-09-18,516.69
2015-09-19,516.69
2015-09-20,516.69
2015-09-21,516.69
2015-09-22,516.69
2015-09-23,516.69
2015-09-24,516.69
2015-09-25,516.69
2015-09-26,516.69
2015-09-27,516.69
2015-09-28,516.69
2015-09-29,516.69
2015-09-30,516.69
2015-10-01,515.72
2015-10-02,515.72
2015-10-03,515.72
2015-10-04,515.72
2015-10-05,515.72
2015-10-06,515.72
2015-10-07,515.72
2015-10-08,515.72
2015-10-09,515.72
2015-10-10,515.72
2015-10-11,515.72
2015-10-12,515.72
2015-10-13,515.72
2015-10-14,515.72
2015-10-15,515.72
2015-10-16,515.72
2015-10-17,515.72
2015-10-18,515.72
2015-10-19,515.72
2015-10-20,515.72
2015-10-21,515.72
2015-10-22,515.72
2015-10-23,515.72
2015-10-24,515.72
2015-10-25,515.72
2015-10-26,515.72
2015-10-27,515.72
2015-10-28,515.72
2015-10-29,515.72
2015-10-30,515.72
2015-10-31,515.72
2015-11-01,517.62
2015-11-02,517.62
2015-11-03,517.62
2015-11-04,517.62
2015-11-05,517.62
2015-11-06,517.62
2015-11-07,517.62
2015-11-08,517.62
2015-11-09,517.62
2015-11-10,517.62
2015-11-11,517.62
2015-11-12,517.62
2015-11-13,517.62
2015-11-14,517.62
2015-11-15,517.62
2015-11-16,517.62
2015-11-17,517.62
2015-11-18,517.62
2015-11-19,517.62
2015-11-20,517.62
2015-11-21,517.62
2015-11-22,517.62
2015-11-23,517.62
2015-11-24,517.62
2015-11-25,517.62
2015-11-26,517.62
2015-11-27,517.62
2015-11-28,517.62
2015-11-29,517.62
2015-11-30,517.62
2015-12-01,516.29
2015-12-02,516.29
2015-12-03,516.29
2015-12-04,516.29
2015-12-05,516.29
2015-12-06,516.29
2015-12-07,516.29
2015-12-08,516.29
2015-12-09,516.29
2015-12-10,516.29
2015-12-11,516.29
2015-12-12,516.29
2015-12-13,516.29
2015-12-14,516.29
2015-12-15,516.29
2015-12-16,516.29
2015-12-17,516.29
2015-12-18,516.29
2015-12-19,516.29
2015-12-20,516.29
2015-12-21,516.29
2015-12-22,516.29
2015-12-23,516.29
2015-12-24,516.29
2015-12-25,516.29
2015-12-26,516.29
2015-12-27,516.29
2015-12-28,516.29
2015-12-29,516.29
2015-12-30,516.29
2015-12-31,516.29
2016-01-01,513.32
2016-01-02,513.32
2016-01-03,513.32
2016-01-04,513.32
2016-01-05,513.32
2016-01-06,513.32
2016-01-07,513.32
2016-01-08,513.32
2016-01-09,513.32
2016-01-10,513.32
2016-01-11,513.32
2016-01-12,513.32
2016-01-13,513.32
2016-01-14,513.32
2016-01-15,513.32
2016-01-16,513.32
2016-01-17,513.32
2016-01-18,513.32
2016-01-19,513.32
2016-01-20,513.32
2016-01-21,513.32
2016-01-22,513.32
2016-01-23,513.32
2016-01-24,513.32
2016-01-25,513.32
2016-01-26,513.32
2016-01-27,513.32
2016-01-28,513.32
2016-01-29,513.32
2016-01-30,513.32
2016-01-31,513.32
2016-02-01,510.11
2016-02-02,510.11
2016-02-03,510.11
2016-02-04,510.11
2016-02-05,510.11
2016-02-06,510.11
2016-02-07,510.11
2016-02-08,510.11
2016-02-09,510.11
2016-02-10,510.11
2016-02-11,510.11
2016-02-12,510.11
2016-02-13,510.11
2016-02-14,510.11
2016-02-15,510.11
2016-02-16,510.11
2016-02-17,510.11
2016-02-18,510.11
2016-02-19,510.11
2016-02-20,510.11
2016-02-21,510.11
2016-02-22,510.11
2016-02-23,510.11
2016-02-24,510.11
2016-02-25,510.11
2016-02-26,510.11
2016-02-27,510.11
2016-02-28,510.11
2016-02-29,510.11
2016-03-01,505.44
