Date,Regular Gasoline,Diesel for automobiles
2015-01-01,1568.65,1383.99
2015-01-02,1568.65,1383.99
2015-01-03,1568.65,1383.99
2015-01-04,1568.65,1383.99
2015-01-05,1531.05,1351.25
2015-01-06,1531.05,1351.25
2015-01-07,1531.05,1351.25
2015-01-08,1531.05,1351.25
2015-01-09,1531.05,1351.25
2015-01-10,1531.05,1351.25
2015-01-11,1531.05,1351.25
2015-01-12,1477.49,1306.47
2015-01-13,1477.49,1306.47
2015-01-14,1477.49,1306.47
2015-01-15,1477.49,1306.47
2015-01-16,1477.49,1306.47
2015-01-17,1477.49,1306.47
2015-01-18,1477.49,1306.47
2015-01-19,1435.14,1273.65
2015-01-20,1435.14,1273.65
2015-01-21,1435.14,1273.65
2015-01-22,1435.14,1273.65
2015-01-23,1435.14,1273.65
2015-01-24,1435.14,1273.65
2015-01-25,1435.14,1273.65
2015-01-26,1412.17,1255.91
2015-01-27,1412.17,1255.91
2015-01-28,1412.17,1255.91
2015-01-29,1412.17,1255.91
2015-01-30,1412.17,1255.91
2015-01-31,1412.17,1255.91
2015-02-01,1412.17,1255.91
2015-02-02,1416.69,1259.52
2015-02-03,1416.69,1259.52
2015-02-04,1416.69,1259.52
2015-02-05,1416.69,1259.52
2015-02-06,1416.69,1259.52
2015-02-07,1416.69,1259.52
2015-02-08,1416.69,1259.52
2015-02-09,1447.61,1284.17
2015-02-10,1447.61,1284.17
2015-02-11,1447.61,1284.17
2015-02-12,1447.61,1284.17
2015-02-13,1447.61,1284.17
2015-02-14,1447.61,1284.17
2015-02-15,1447.61,1284.17
2015-02-16,1469.75,1300.98
2015-02-17,1469.75,1300.98
2015-02-18,1469.75,1300.98
2015-02-19,1469.75,1300.98
2015-02-20,1469.75,1300.98
2015-02-21,1469.75,1300.98
2015-02-22,1469.75,1300.98
2015-02-23,1489.59,1315.79
2015-02-24,1489.59,1315.79
2015-02-25,1489.59,1315.79
2015-02-26,1489.59,1315.79
2015-02-27,1489.59,1315.79
2015-02-28,1489.59,1315.79
2015-03-01,1489.59,1315.79
2015-03-02,1506.26,1327.18
2015-03-03,1506.26,1327.18
2015-03-04,1506.26,1327.18
2015-03-05,1506.26,1327.18
2015-03-06,1506.26,1327.18
2015-03-07,1506.26,1327.18
2015-03-08,1506.26,1327.18
2015-03-09,1516.03,1333.11
2015-03-10,1516.03,1333.11
2015-03-11,1516.03,1333.11
2015-03-12,1516.03,1333.11
2015-03-13,1516.03,1333.11
2015-03-14,1516.03,1333.11
2015-03-15,1516.03,1333.11
2015-03-16,1513.71,1329.61
2015-03-17,1513.71,1329.61
2015-03-18,1513.71,1329.61
2015-03-19,1513.71,1329.61
2015-03-20,1513.71,1329.61
2015-03-21,1513.71,1329.61
2015-03-22,1513.71,1329.61
2015-03-30,1510.61,1325.47
2015-03-31,1510.61,1325.47
2015-04-01,1510.61,1325.47
2015-04-02,1510.61,1325.47
2015-04-03,1510.61,1325.47
2015-04-04,1510.61,1325.47
2015-04-05,1510.61,1325.47
2015-04-06,1508.25,1321.99
2015-04-07,1508.25,1321.99
2015-04-08,1508.25,1321.99
2015-04-09,1508.25,1321.99
