Date,GDP,Economic growth rate
2015-01-01,394273,2.4
2015-01-02,394273,2.4
2015-01-03,394273,2.4
2015-01-04,394273,2.4
2015-01-05,394273,2.4
2015-01-06,394273,2.4
2015-01-07,394273,2.4
2015-01-08,394273,2.4
2015-01-09,394273,2.4
2015-01-10,394273,2.4
2015-01-11,394273,2.4
2015-01-12,394273,2.4
2015-01-13,394273,2.4
2015-01-14,394273,2.4
2015-01-15,394273,2.4
2015-01-16,394273,2.4
2015-01-17,394273,2.4
2015-01-18,394273,2.4
2015-01-19,394273,2.4
2015-01-20,394273,2.4
2015-01-21,394273,2.4
2015-01-22,394273,2.4
2015-01-23,394273,2.4
2015-01-24,394273,2.4
2015-01-25,394273,2.4
2015-01-26,394273,2.4
2015-01-27,394273,2.4
2015-01-28,394273,2.4
2015-01-29,394273,2.4
2015-01-30,394273,2.4
2015-01-31,394273,2.4
2015-02-01,394273,2.4
2015-02-02,394273,2.4
2015-02-03,394273,2.4
2015-02-04,394273,2.4
2015-02-05,394273,2.4
2015-02-06,394273,2.4
2015-02-07,394273,2.4
2015-02-08,394273,2.4
2015-02-09,394273,2.4
2015-02-10,394273,2.4
2015-02-11,394273,2.4
2015-02-12,394273,2.4
2015-02-13,394273,2.4
2015-02-14,394273,2.4
2015-02-15,394273,2.4
2015-02-16,394273,2.4
2015-02-17,394273,2.4
2015-02-18,394273,2.4
2015-02-19,394273,2.4
2015-02-20,394273,2.4
2015-02-21,394273,2.4
2015-02-22,394273,2.4
2015-02-23,394273,2.4
2015-02-24,394273,2.4
2015-02-25,394273,2.4
2015-02-26,394273,2.4
2015-02-27,394273,2.4
2015-02-28,394273,2.4
2015-03-01,394273,2.4
2015-03-02,394273,2.4
2015-03-03,394273,2.4
2015-03-04,394273,2.4
2015-03-05,394273,2.4
2015-03-06,394273,2.4
2015-03-07,394273,2.4
2015-03-08,394273,2.4
2015-03-09,394273,2.4
2015-03-10,394273,2.4
2015-03-11,394273,2.4
2015-03-12,394273,2.4
2015-03-13,394273,2.4
2015-03-14,394273,2.4
2015-03-15,394273,2.4
2015-03-16,394273,2.4
2015-03-17,394273,2.4
2015-03-18,394273,2.4
2015-03-19,394273,2.4
2015-03-20,394273,2.4
2015-03-21,394273,2.4
2015-03-22,394273,2.4
2015-03-23,394273,2.4
2015-03-24,394273,2.4
2015-03-25,394273,2.4
2015-03-26,394273,2.4
2015-03-27,394273,2.4
2015-03-28,394273,2.4
2015-03-29,394273,2.4
2015-03-30,394273,2.4
2015-03-31,394273,2.4
2015-04-01,411387,2
2015-04-02,411387,2
2015-04-03,411387,2
2015-04-04,411387,2
2015-04-05,411387,2
2015-04-06,411387,2
2015-04-07,411387,2
2015-04-08,411387,2
2015-04-09,411387,2
2015-04-10,411387,2
2015-04-11,411387,2
2015-04-12,411387,2
2015-04-13,411387,2
2015-04-14,411387,2
2015-04-15,411387,2
2015-04-16,411387,2
2015-04-17,411387,2
2015-04-18,411387,2
2015-04-19,411387,2
2015-04-20,411387,2
2015-04-21,411387,2
2015-04-22,411387,2
2015-04-23,411387,2
2015-04-24,411387,2
2015-04-25,411387,2
2015-04-26,411387,2
2015-04-27,411387,2
2015-04-28,411387,2
2015-04-29,411387,2
2015-04-30,411387,2
2015-05-01,411387,2
2015-05-02,411387,2
2015-05-03,411387,2
2015-05-04,411387,2
2015-05-05,411387,2
2015-05-06,411387,2
2015-05-07,411387,2
2015-05-08,411387,2
2015-05-09,411387,2
2015-05-10,411387,2
2015-05-11,411387,2
2015-05-12,411387,2
2015-05-13,411387,2
2015-05-14,411387,2
2015-05-15,411387,2
2015-05-16,411387,2
2015-05-17,411387,2
2015-05-18,411387,2
2015-05-19,411387,2
2015-05-20,411387,2
2015-05-21,411387,2
2015-05-22,411387,2
2015-05-23,411387,2
2015-05-24,411387,2
2015-05-25,411387,2
2015-05-26,411387,2
2015-05-27,411387,2
2015-05-28,411387,2
2015-05-29,411387,2
2015-05-30,411387,2
2015-05-31,411387,2
2015-06-01,411387,2
2015-06-02,411387,2
2015-06-03,411387,2
2015-06-04,411387,2
2015-06-05,411387,2
2015-06-06,411387,2
2015-06-07,411387,2
2015-06-08,411387,2
2015-06-09,411387,2
2015-06-10,411387,2
2015-06-11,411387,2
2015-06-12,411387,2
2015-06-13,411387,2
2015-06-14,411387,2
2015-06-15,411387,2
2015-06-16,411387,2
2015-06-17,411387,2
2015-06-18,411387,2
2015-06-19,411387,2
2015-06-20,411387,2
2015-06-21,411387,2
2015-06-22,411387,2
2015-06-23,411387,2
2015-06-24,411387,2
2015-06-25,411387,2
2015-06-26,411387,2
2015-06-27,411387,2
2015-06-28,411387,2
2015-06-29,411387,2
2015-06-30,411387,2
2015-07-01,420791,3.3
2015-07-02,420791,3.3
2015-07-03,420791,3.3
2015-07-04,420791,3.3
2015-07-05,420791,3.3
2015-07-06,420791,3.3
2015-07-07,420791,3.3
2015-07-08,420791,3.3
2015-07-09,420791,3.3
2015-07-10,420791,3.3
2015-07-11,420791,3.3
2015-07-12,420791,3.3
2015-07-13,420791,3.3
2015-07-14,420791,3.3
2015-07-15,420791,3.3
2015-07-16,420791,3.3
2015-07-17,420791,3.3
2015-07-18,420791,3.3
2015-07-19,420791,3.3
2015-07-20,420791,3.3
2015-07-21,420791,3.3
2015-07-22,420791,3.3
2015-07-23,420791,3.3
2015-07-24,420791,3.3
2015-07-25,420791,3.3
2015-07-26,420791,3.3
2015-07-27,420791,3.3
2015-07-28,420791,3.3
2015-07-29,420791,3.3
2015-07-30,420791,3.3
2015-07-31,420791,3.3
2015-08-01,420791,3.3
2015-08-02,420791,3.3
2015-08-03,420791,3.3
2015-08-04,420791,3.3
2015-08-05,420791,3.3
2015-08-06,420791,3.3
2015-08-07,420791,3.3
2015-08-08,420791,3.3
2015-08-09,420791,3.3
2015-08-10,420791,3.3
2015-08-11,420791,3.3
2015-08-12,420791,3.3
2015-08-13,420791,3.3
2015-08-14,420791,3.3
2015-08-15,420791,3.3
2015-08-16,420791,3.3
2015-08-17,420791,3.3
2015-08-18,420791,3.3
2015-08-19,420791,3.3
2015-08-20,420791,3.3
2015-08-21,420791,3.3
2015-08-22,420791,3.3
2015-08-23,420791,3.3
2015-08-24,420791,3.3
2015-08-25,420791,3.3
2015-08-26,420791,3.3
2015-08-27,420791,3.3
2015-08-28,420791,3.3
2015-08-29,420791,3.3
2015-08-30,420791,3.3
2015-08-31,420791,3.3
2015-09-01,420791,3.3
2015-09-02,420791,3.3
2015-09-03,420791,3.3
2015-09-04,420791,3.3
2015-09-05,420791,3.3
2015-09-06,420791,3.3
2015-09-07,420791,3.3
2015-09-08,420791,3.3
2015-09-09,420791,3.3
2015-09-10,420791,3.3
2015-09-11,420791,3.3
