date,Export price,Export growth rate,Import price,Import growth rate
2011년 1월,"44,465,366",44.7,"41,981,323",13.6
2011년 2월,"38,467,412",16.4,"36,401,588",11.2
2011년 3월,"48,052,991",28.8,"45,565,952",15.4
2011년 4월,"48,536,725",23.5,"44,188,522",29.4
2011년 5월,"47,331,329",21.7,"45,284,932",28.7
2011년 6월,"46,736,893",11.1,"44,824,772",25.1
2011년 7월,"48,950,113",21.1,"44,296,129",27.1
2011년 8월,"45,792,061",25.5,"45,381,680",29.9
2011년 9월,"46,510,965",18,"45,279,469",24.4
2011년 10월,"46,613,480",7.6,"42,709,770",28.1
2011년 11월,"46,012,595",11.5,"43,010,481",17.3
2011년 12월,"47,743,725",8.2,"45,488,471",33.1
2012년 1월,"41,200,358",-7.3,"43,517,291",3.7
2012년 2월,"46,316,184",20.4,"45,099,984",23.9
2012년 3월,"47,329,817",-1.5,"45,053,406",-1.1
2012년 4월,"46,094,754",-5,"43,957,176",-0.5
2012년 5월,"46,872,357",-1,"44,480,339",-1.8
2012년 6월,"47,162,605",0.9,"41,993,629",-6.3
2012년 7월,"44,667,681",-8.7,"41,976,900",-5.2
2012년 8월,"43,045,181",-6,"41,115,675",-9.4
2012년 9월,"45,412,538",-2.4,"42,559,535",-6
2012년 10월,"47,087,760",1,"43,379,893",1.6
2012년 11월,"47,805,246",3.9,"43,381,537",0.9
2012년 12월,"44,875,311",-6,"43,069,109",-5.3
2013년 1월,"45,673,109",10.9,"45,673,109",4.1
2013년 2월,"42,331,837",-8.6,"42,331,837",-10.3
2013년 3월,"47,312,704",0,"47,312,704",-2.4
2013년 4월,"46,157,925",0.1,"46,157,925",-0.7
2013년 5월,"48,307,560",3.1,"48,307,560",-4.7
2013년 6월,"46,690,983",-1,"46,690,983",-3
2013년 7월,"45,829,521",2.6,"45,829,521",3.4
2013년 8월,"46,311,341",7.6,"46,311,341",1.2
2013년 9월,"44,650,486",-1.7,"44,650,486",-3.5
2013년 10월,"50,480,484",7.2,"50,480,484",5.1
2013년 11월,"47,905,028",0.2,"47,905,028",-0.6
2013년 12월,"47,981,456",6.9,"47,981,456",3
2014년 1월,"45,559,632",-0.2,"44,746,013",-1.2
2014년 2월,"42,911,735",1.4,"42,061,554",4
2014년 3월,"49,064,392",3.7,"45,558,675",3.6
2014년 4월,"50,267,448",8.9,"45,873,333",5.1
2014년 5월,"47,577,183",-1.5,"42,607,483",0.5
2014년 6월,"47,827,709",2.4,"42,476,381",4.3
2014년 7월,"48,204,545",5.2,"45,863,916",5.7
2014년 8월,"46,108,370",-0.4,"42,791,869",2.9
2014년 9월,"47,446,217",6.3,"44,184,712",7.6
2014년 10월,"51,630,657",2.3,"44,097,421",-3.3
2014년 11월,"46,605,342",-2.7,"41,343,254",-4.1
2014년 12월,"49,461,377",3.1,"43,909,896",-1
2015년 1월,"45,105,389",-1,"39,283,025",-12.2
2015년 2월,"41,472,191",-3.4,"33,998,316",-19.2
2015년 3월,"46,822,771",-4.6,"38,485,935",-15.5
2015년 4월,"46,221,931",-8,"37,858,798",-17.5
2015년 5월,"42,327,311",-11,"36,039,800",-15.4
2015년 6월,"46,554,512",-2.7,"36,598,398",-13.8
2015년 7월,"45,695,747",-5.2,"38,647,067",-15.7
