date,Export amount,Export growth rate,Import amount,Import growth rate
2015-01-01,"45,105,389",-1.0,"39,283,025",-12.2
2015-01-02,"45,105,389",-1.0,"39,283,025",-12.2
2015-01-03,"45,105,389",-1.0,"39,283,025",-12.2
2015-01-04,"45,105,389",-1.0,"39,283,025",-12.2
2015-01-05,"45,105,389",-1.0,"39,283,025",-12.2
2015-01-06,"45,105,389",-1.0,"39,283,025",-12.2
2015-01-07,"45,105,389",-1.0,"39,283,025",-12.2
2015-01-08,"45,105,389",-1.0,"39,283,025",-12.2
2015-01-09,"45,105,389",-1.0,"39,283,025",-12.2
2015-01-10,"45,105,389",-1.0,"39,283,025",-12.2
2015-01-11,"45,105,389",-1.0,"39,283,025",-12.2
2015-01-12,"45,105,389",-1.0,"39,283,025",-12.2
2015-01-13,"45,105,389",-1.0,"39,283,025",-12.2
2015-01-14,"45,105,389",-1.0,"39,283,025",-12.2
2015-01-15,"45,105,389",-1.0,"39,283,025",-12.2
2015-01-16,"45,105,389",-1.0,"39,283,025",-12.2
2015-01-17,"45,105,389",-1.0,"39,283,025",-12.2
2015-01-18,"45,105,389",-1.0,"39,283,025",-12.2
2015-01-19,"45,105,389",-1.0,"39,283,025",-12.2
2015-01-20,"45,105,389",-1.0,"39,283,025",-12.2
2015-01-21,"45,105,389",-1.0,"39,283,025",-12.2
2015-01-22,"45,105,389",-1.0,"39,283,025",-12.2
2015-01-23,"45,105,389",-1.0,"39,283,025",-12.2
2015-01-24,"45,105,389",-1.0,"39,283,025",-12.2
2015-01-25,"45,105,389",-1.0,"39,283,025",-12.2
2015-01-26,"45,105,389",-1.0,"39,283,025",-12.2
2015-01-27,"45,105,389",-1.0,"39,283,025",-12.2
2015-01-28,"45,105,389",-1.0,"39,283,025",-12.2
2015-01-29,"45,105,389",-1.0,"39,283,025",-12.2
2015-01-30,"45,105,389",-1.0,"39,283,025",-12.2
2015-01-31,"45,105,389",-1.0,"39,283,025",-12.2
2015-02-01,"41,472,191",-3.4,"33,998,316",-19.2
2015-02-02,"41,472,191",-3.4,"33,998,316",-19.2
2015-02-03,"41,472,191",-3.4,"33,998,316",-19.2
2015-02-04,"41,472,191",-3.4,"33,998,316",-19.2
2015-02-05,"41,472,191",-3.4,"33,998,316",-19.2
2015-02-06,"41,472,191",-3.4,"33,998,316",-19.2
2015-02-07,"41,472,191",-3.4,"33,998,316",-19.2
2015-02-08,"41,472,191",-3.4,"33,998,316",-19.2
2015-02-09,"41,472,191",-3.4,"33,998,316",-19.2
2015-02-10,"41,472,191",-3.4,"33,998,316",-19.2
2015-02-11,"41,472,191",-3.4,"33,998,316",-19.2
2015-02-12,"41,472,191",-3.4,"33,998,316",-19.2
2015-02-13,"41,472,191",-3.4,"33,998,316",-19.2
2015-02-14,"41,472,191",-3.4,"33,998,316",-19.2
2015-02-15,"41,472,191",-3.4,"33,998,316",-19.2
2015-02-16,"41,472,191",-3.4,"33,998,316",-19.2
2015-02-17,"41,472,191",-3.4,"33,998,316",-19.2
2015-02-18,"41,472,191",-3.4,"33,998,316",-19.2
2015-02-19,"41,472,191",-3.4,"33,998,316",-19.2
2015-02-20,"41,472,191",-3.4,"33,998,316",-19.2
2015-02-21,"41,472,191",-3.4,"33,998,316",-19.2
2015-02-22,"41,472,191",-3.4,"33,998,316",-19.2
