Date,population,
2015-01-01,10045027,
2015-01-02,10045027,
2015-01-03,10045027,
2015-01-04,10045027,
2015-01-05,10045027,
2015-01-06,10045027,
2015-01-07,10045027,
2015-01-08,10045027,
2015-01-09,10045027,
2015-01-10,10045027,
2015-01-11,10045027,
2015-01-12,10045027,
2015-01-13,10045027,
2015-01-14,10045027,
2015-01-15,10045027,
2015-01-16,10045027,
2015-01-17,10045027,
2015-01-18,10045027,
2015-01-19,10045027,
2015-01-20,10045027,
2015-01-21,10045027,
2015-01-22,10045027,
2015-01-23,10045027,
2015-01-24,10045027,
2015-01-25,10045027,
2015-01-26,10045027,
2015-01-27,10045027,
2015-01-28,10045027,
2015-01-29,10045027,
2015-01-30,10045027,
2015-01-31,10045027,
2015-02-01,10105206,
2015-02-02,10105206,
2015-02-03,10105206,
2015-02-04,10105206,
2015-02-05,10105206,
2015-02-06,10105206,
2015-02-07,10105206,
2015-02-08,10105206,
2015-02-09,10105206,
2015-02-10,10105206,
2015-02-11,10105206,
2015-02-12,10105206,
2015-02-13,10105206,
2015-02-14,10105206,
2015-02-15,10105206,
2015-02-16,10105206,
2015-02-17,10105206,
2015-02-18,10105206,
2015-02-19,10105206,
2015-02-20,10105206,
2015-02-21,10105206,
2015-02-22,10105206,
2015-02-23,10105206,
2015-02-24,10105206,
2015-02-25,10105206,
2015-02-26,10105206,
2015-02-27,10105206,
2015-02-28,10105206,
2015-03-01,10100987,
2015-03-02,10100987,
2015-03-03,10100987,
2015-03-04,10100987,
2015-03-05,10100987,
2015-03-06,10100987,
2015-03-07,10100987,
2015-03-08,10100987,
2015-03-09,10100987,
2015-03-10,10100987,
2015-03-11,10100987,
2015-03-12,10100987,
2015-03-13,10100987,
2015-03-14,10100987,
2015-03-15,10100987,
2015-03-16,10100987,
2015-03-17,10100987,
2015-03-18,10100987,
2015-03-19,10100987,
2015-03-20,10100987,
2015-03-21,10100987,
2015-03-22,10100987,
2015-03-23,10100987,
2015-03-24,10100987,
2015-03-25,10100987,
2015-03-26,10100987,
2015-03-27,10100987,
2015-03-28,10100987,
2015-03-29,10100987,
2015-03-30,10100987,
2015-03-31,10100987,
2015-04-01,10094889,
2015-04-02,10094889,
2015-04-03,10094889,
2015-04-04,10094889,
2015-04-05,10094889,
2015-04-06,10094889,
2015-04-07,10094889,
2015-04-08,10094889,
2015-04-09,10094889,
2015-04-10,10094889,
2015-04-11,10094889,
2015-04-12,10094889,
2015-04-13,10094889,
2015-04-14,10094889,
2015-04-15,10094889,
2015-04-16,10094889,
2015-04-17,10094889,
2015-04-18,10094889,
2015-04-19,10094889,
2015-04-20,10094889,
2015-04-21,10094889,
2015-04-22,10094889,
2015-04-23,10094889,
2015-04-24,10094889,
