Date,GDP,Economic growth rate,Regular Gasoline,Diesel for automobiles,population,Car registration,Traffic rate,Economic growth state
2015-01-01,394273,2.4,1568.65,1383.99,10045027.0,3056588.0,5400081.5,weak positive
2015-01-02,394273,2.4,1568.65,1383.99,10045027.0,3056588.0,5220255.0,weak positive
2015-01-03,394273,2.4,1568.65,1383.99,10045027.0,3056588.0,4480084.5,weak positive
2015-01-04,394273,2.4,1568.65,1383.99,10045027.0,3056588.0,5486275.0,weak positive
2015-01-05,394273,2.4,1531.05,1351.25,10045027.0,3056588.0,5831397.0,weak positive
2015-01-06,394273,2.4,1531.05,1351.25,10045027.0,3056588.0,5727856.0,weak positive
2015-01-07,394273,2.4,1531.05,1351.25,10045027.0,3056588.0,5792134.5,weak positive
2015-01-08,394273,2.4,1531.05,1351.25,10045027.0,3056588.0,6074171.5,weak positive
2015-01-09,394273,2.4,1531.05,1351.25,10045027.0,3056588.0,5734438.0,weak positive
2015-01-10,394273,2.4,1531.05,1351.25,10045027.0,3056588.0,4715174.0,weak positive
2015-01-11,394273,2.4,1531.05,1351.25,10045027.0,3056588.0,5611415.0,weak positive
2015-01-12,394273,2.4,1477.49,1306.47,10045027.0,3056588.0,5843958.0,weak positive
2015-01-13,394273,2.4,1477.49,1306.47,10045027.0,3056588.0,5482524.5,weak positive
2015-01-14,394273,2.4,1477.49,1306.47,10045027.0,3056588.0,5472468.5,weak positive
2015-01-15,394273,2.4,1477.49,1306.47,10045027.0,3056588.0,5695064.0,weak positive
2015-01-16,394273,2.4,1477.49,1306.47,10045027.0,3056588.0,5139141.0,weak positive
2015-01-17,394273,2.4,1477.49,1306.47,10045027.0,3056588.0,4422597.0,weak positive
2015-01-18,394273,2.4,1477.49,1306.47,10045027.0,3056588.0,5492798.0,weak positive
2015-01-19,394273,2.4,1435.14,1273.65,10045027.0,3056588.0,5209700.0,weak positive
2015-01-20,394273,2.4,1435.14,1273.65,10045027.0,3056588.0,5228959.5,weak positive
2015-01-21,394273,2.4,1435.14,1273.65,10045027.0,3056588.0,5273341.5,weak positive
2015-01-22,394273,2.4,1435.14,1273.65,10045027.0,3056588.0,5410624.0,weak positive
2015-01-23,394273,2.4,1435.14,1273.65,10045027.0,3056588.0,4938990.0,weak positive
2015-01-24,394273,2.4,1435.14,1273.65,10045027.0,3056588.0,4103190.5,weak positive
2015-01-25,394273,2.4,1435.14,1273.65,10045027.0,3056588.0,4785486.5,weak positive
2015-01-26,394273,2.4,1412.17,1255.91,10045027.0,3056588.0,5024498.0,weak positive
2015-01-27,394273,2.4,1412.17,1255.91,10045027.0,3056588.0,5032974.0,weak positive
2015-01-28,394273,2.4,1412.17,1255.91,10045027.0,3056588.0,5050487.5,weak positive
2015-01-29,394273,2.4,1412.17,1255.91,10045027.0,3056588.0,5190050.0,weak positive
2015-01-30,394273,2.4,1412.17,1255.91,10045027.0,3056588.0,5093090.5,weak positive
2015-01-31,394273,2.4,1412.17,1255.91,10045027.0,3056588.0,4107842.5,weak positive
2015-02-01,394273,2.4,1412.17,1255.91,10105206.0,3056588.0,4648726.0,weak positive
2015-02-02,394273,2.4,1416.69,1259.52,10105206.0,3056588.0,4833086.0,weak positive
2015-02-03,394273,2.4,1416.69,1259.52,10105206.0,3056588.0,4982601.0,weak positive
2015-02-04,394273,2.4,1416.69,1259.52,10105206.0,3056588.0,5115187.0,weak positive
2015-02-05,394273,2.4,1416.69,1259.52,10105206.0,3056588.0,5170753.0,weak positive
2015-02-06,394273,2.4,1416.69,1259.52,10105206.0,3056588.0,4988464.0,weak positive
2015-02-07,394273,2.4,1416.69,1259.52,10105206.0,3056588.0,4151673.0,weak positive
2015-02-08,394273,2.4,1416.69,1259.52,10105206.0,3056588.0,4814250.5,weak positive
2015-02-09,394273,2.4,1447.61,1284.17,10105206.0,3056588.0,4885896.5,weak positive
2015-02-10,394273,2.4,1447.61,1284.17,10105206.0,3056588.0,3688696.0,weak positive
2015-02-11,394273,2.4,1447.61,1284.17,10105206.0,3056588.0,3596619.0,weak positive
2015-02-12,394273,2.4,1447.61,1284.17,10105206.0,3056588.0,4773732.5,weak positive
2015-02-13,394273,2.4,1447.61,1284.17,10105206.0,3056588.0,5125940.0,weak positive
2015-02-14,394273,2.4,1447.61,1284.17,10105206.0,3056588.0,5171485.5,weak positive
